time,open,high,low,close,mean,volume,adjMean
1752183740,163.96,163.96,163.96,163.96,923.3,972,923.3
1752183795,163.96,163.96,163.96,163.96,913.1,100,913.1
1752183800,163.9604,163.9604,163.9604,163.9604,863.1,500,863.1
1752183820,163.96,163.96,163.96,163.96,874,309,874
1752183825,163.96,163.96,163.96,163.96,1016.5,1601,1016.5
1752183850,163.96,163.97,163.959,163.97,1131.5,1300,1131.5
1752183865,163.97,163.97,163.97,163.97,1053.5,100,1053.5
1752183880,163.96,163.96,163.96,163.96,1040.5,100,1040.5
1752183895,163.96,163.96,163.96,163.96,889.1,478,889.1
1752183910,163.97,163.97,163.97,163.97,606,600,606
1752183920,163.9694,163.9694,163.9694,163.9694,607.1,983,607.1
1752183940,163.959,163.97,163.959,163.97,707.1,1100,707.1
1752183945,163.96,163.96,163.96,163.96,667.1,100,667.1
1752183970,163.96,163.96,163.96,163.96,669.7,335,669.7
1752183980,163.96,163.96,163.96,163.96,527.3,177,527.3
1752183995,163.9697,163.9697,163.9697,163.9697,407.3,100,407.3
1752184000,163.96,163.96,163.96,163.96,407.3,100,407.3
1752184015,163.96,163.9602,163.96,163.9602,427.3,300,427.3
1752184025,163.96,163.96,163.96,163.96,389.5,100,389.5
1752184035,163.96,163.96,163.96,163.96,341.5,120,341.5
1752184045,163.96,163.96,163.96,163.96,256.2,130,256.2
1752184070,163.96,163.96,163.96,163.96,156.2,100,156.2
1752184075,163.96,163.96,163.95,163.95,394.4,2482,394.4
1752184080,163.95,163.95,163.95,163.95,391.9,310,391.9
1752184090,163.95,163.95,163.95,163.95,384.3,101,384.3
1752184115,163.96,163.96,163.96,163.96,418.6,443,418.6
1752184130,163.96,163.96,163.9598,163.9598,476.8,682,476.8
1752184140,163.95,163.95,163.95,163.95,488.2,414,488.2
1752184155,163.95,163.96,163.95,163.96,508.2,300,508.2
1752184160,163.96,163.96,163.96,163.96,506.2,100,506.2
1752184165,163.97,163.97,163.97,163.97,503.2,100,503.2
1752184190,163.97,163.97,163.97,163.97,693.2,2000,693.2
1752184205,163.95,163.95,163.95,163.95,539.1,941,539.1
1752184210,163.96,163.97,163.96,163.97,558.1,500,558.1
1752184215,163.96,163.97,163.96,163.9692,659.9,1119,659.9
1752184220,163.95,163.95,163.95,163.95,648.1,325,648.1
1752184245,163.96,163.96,163.96,163.96,627.4,475,627.4
1752184255,163.95,163.95,163.95,163.95,596.9,109,596.9
1752184265,163.95,163.95,163.95,163.95,580.8,139,580.8
1752184270,163.96,163.97,163.95,163.95,715.5,1447,715.5
1752184275,163.95,163.95,163.95,163.95,754.5,490,754.5
1752184280,163.95,163.95,163.95,163.95,564.5,100,564.5
1752184285,163.95,163.95,163.95,163.95,575.8,1054,575.8
1752184290,163.95,163.95,163.94,163.94,901.9,3761,901.9
1752184300,163.97,163.97,163.97,163.97,812.5,225,812.5
1752184310,163.96,163.96,163.96,163.96,800,200,800
1752184320,163.95,163.96,163.95,163.96,792.5,400,792.5
1752184325,163.95,163.95,163.95,163.95,791.6,100,791.6
1752184335,163.97,163.97,163.97,163.97,865.1,874,865.1
1752184340,163.96,163.96,163.96,163.96,789.7,693,789.7
1752184345,163.97,163.97,163.97,163.97,766.5,258,766.5
1752184350,163.94,163.94,163.94,163.94,845.2,887,845.2
1752184355,163.94,163.94,163.94,163.94,749.8,100,749.8
1752184360,163.93,163.93,163.93,163.93,383.7,100,383.7
1752184390,163.9309,163.9309,163.9309,163.9309,376.2,150,376.2
