top - 00:51:11 up 1 day, 20:41,  0 users,  load average: 0.03, 0.04, 0.01
Tasks: 126 total,   1 running, 125 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.1 us,  3.1 sy,  0.0 ni, 90.6 id,  0.0 wa,  0.0 hi,  3.1 si,  0.0 st
MiB Mem :   3911.9 total,    190.1 free,   3411.5 used,    310.3 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.    261.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  49917 root      20   0   95.7g   1.0g  25640 S   6.7  26.8   9:06.06 node
      1 root      20   0  166476   8032   4572 S   0.0   0.2   0:04.76 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     13 root      20   0       0      0      0 S   0.0   0.0   0:01.02 ksoftirqd/0
     14 root      20   0       0      0      0 I   0.0   0.0   0:37.17 rcu_sched
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.86 migration/0
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     21 root      rt   0       0      0      0 S   0.0   0.0   0:01.18 migration/1
     22 root      20   0       0      0      0 S   0.0   0.0   0:03.00 ksoftirqd/1
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.10 khungtaskd
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     31 root      20   0       0      0      0 S   0.0   0.0   0:12.44 kcompactd0
     32 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     33 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     90 root       0 -20       0      0      0 I   0.0   0.0   0:03.57 kworker/1:1H-kblockd
     92 root      20   0       0      0      0 S   0.0   0.0  16:41.68 kswapd0
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthrea
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    100 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u5:0
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    170 root       0 -20       0      0      0 I   0.0   0.0   0:01.94 kworker/0:1H-kblockd
    173 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    175 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    250 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 raid5wq
    300 root      20   0       0      0      0 S   0.0   0.0   0:06.51 jbd2/vda1-8
    301 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    375 root      19  -1   31516   7332   6192 S   0.0   0.2   0:00.97 systemd-journal
    399 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kaluad
    403 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_rdacd
